,Gender,Age,Recommendation,Reward
424,f,57.0,health,1
425,f,39.0,movies,1
426,f,95.0,news,0
427,m,17.0,sports,1
428,m,57.0,sports,0
429,m,52.0,news,0
430,f,39.0,sports,0
431,f,60.0,news,0
432,m,38.0,movies,0
433,f,88.0,sports,0
434,f,14.0,movies,1
435,m,52.0,news,0
436,f,53.0,health,1
437,m,88.0,news,0
438,f,39.0,health,1
439,f,80.0,health,1
440,m,99.0,movies,0
441,f,72.0,news,0
442,f,77.0,health,1
443,f,15.0,news,0
444,m,59.0,sports,0
445,m,35.0,movies,0
446,f,43.0,health,1
447,f,69.0,health,1
448,f,66.0,health,1
449,f,30.0,health,1
450,m,99.0,health,1
451,f,33.0,movies,1
452,f,25.0,health,0
453,m,17.0,movies,1
454,f,37.0,sports,0
455,f,58.0,sports,0
456,f,83.0,movies,0
457,m,69.0,movies,0
458,f,13.0,sports,1
459,f,78.0,movies,0
460,f,76.0,news,0
461,f,82.0,movies,0
462,m,13.0,movies,1
463,m,46.0,news,1
464,m,93.0,movies,0
465,f,22.0,news,0
466,m,19.0,news,0
467,m,87.0,health,1
468,m,87.0,sports,0
469,m,55.0,news,0
470,f,49.0,news,0
471,m,11.0,movies,1
472,m,64.0,movies,0
473,m,10.0,health,0
474,m,12.0,movies,1
475,m,51.0,news,0
476,m,15.0,news,0
477,f,14.0,health,0
478,m,31.0,movies,0
479,m,50.0,health,0
480,f,60.0,news,0
481,f,48.0,movies,1
482,f,75.0,health,0
483,f,23.0,health,0
484,m,33.0,sports,1
485,f,39.0,news,0
486,f,20.0,news,0
487,m,19.0,health,0
488,f,33.0,sports,0
489,f,87.0,sports,0
490,m,87.0,health,1
491,f,67.0,news,0
492,m,35.0,movies,0
493,m,10.0,news,0
494,m,70.0,movies,0
495,m,84.0,health,1
496,m,16.0,movies,0
497,m,86.0,health,1
498,f,27.0,news,0
499,f,52.0,movies,0
500,f,85.0,health,1
501,f,43.0,sports,0
502,m,44.0,movies,0
503,f,73.0,movies,0
504,f,41.0,movies,1
505,m,79.0,news,0
506,m,78.0,news,0
507,f,37.0,movies,1
508,f,53.0,health,1
509,m,61.0,sports,0
510,m,15.0,movies,1
511,f,81.0,movies,0
512,m,28.0,news,0
513,m,11.0,sports,1
514,f,28.0,news,0
515,m,36.0,movies,0
516,f,51.0,health,1
517,f,99.0,news,0
518,m,42.0,health,0
519,f,12.0,movies,1
520,f,10.0,sports,1
521,m,12.0,health,0
522,f,99.0,movies,0
523,f,66.0,health,1
524,f,90.0,sports,0
525,m,48.0,movies,0
526,f,37.0,health,1
527,m,71.0,sports,0
528,f,95.0,health,1
529,f,92.0,news,0
530,m,18.0,news,0
531,m,59.0,movies,0
532,f,93.0,movies,0
533,f,14.0,sports,1
534,f,26.0,health,0
535,f,46.0,health,1
536,m,37.0,health,0
537,m,60.0,movies,0
538,f,32.0,news,0
539,m,43.0,health,0
540,f,90.0,health,1
541,f,32.0,health,1
542,m,46.0,news,1
543,f,18.0,news,0
544,f,13.0,news,0
545,m,38.0,sports,1
546,m,42.0,health,0
547,m,42.0,sports,1
548,f,72.0,movies,0
549,f,38.0,news,0
550,m,30.0,news,1
551,m,81.0,health,1
552,f,48.0,health,1
553,f,43.0,health,1
554,m,28.0,sports,1
555,m,82.0,movies,0
556,m,67.0,health,1
557,f,99.0,news,0
558,m,28.0,news,0
559,f,76.0,movies,0
560,f,13.0,news,0
561,m,12.0,movies,1
562,f,77.0,news,0
563,f,53.0,movies,0
564,m,50.0,sports,0
565,f,20.0,sports,0
566,f,88.0,health,0
567,m,89.0,news,0
568,m,43.0,movies,0
569,f,21.0,movies,1
570,f,71.0,health,1
571,m,25.0,news,0
572,f,29.0,news,0
573,f,23.0,news,0
574,m,62.0,sports,0
575,f,30.0,health,1
576,m,83.0,news,0
577,f,15.0,health,0
578,f,78.0,sports,0
579,f,19.0,news,0
580,f,78.0,movies,0
581,f,72.0,news,0
582,f,62.0,movies,0
583,m,46.0,health,0
584,f,57.0,health,1
585,m,96.0,news,0
586,f,52.0,health,0
587,m,57.0,news,0
588,m,66.0,news,0
589,m,96.0,health,1
590,f,47.0,news,0
591,f,22.0,news,0
592,m,50.0,health,0
593,m,37.0,movies,0
594,m,66.0,news,0
595,f,49.0,health,0
596,f,83.0,sports,0
597,f,49.0,movies,1
598,m,16.0,health,0
599,m,91.0,health,1
600,f,31.0,health,0
601,f,47.0,sports,0
602,m,24.0,health,0
603,m,50.0,sports,0
604,f,24.0,news,0
605,f,78.0,news,0
606,m,39.0,news,1
607,m,94.0,health,0
608,f,81.0,news,0
609,m,29.0,movies,1
610,m,49.0,news,1
611,f,64.0,news,0
612,m,55.0,news,0
613,m,27.0,movies,1
614,f,46.0,movies,1
615,f,77.0,movies,0
616,f,49.0,health,1
617,m,41.0,movies,0
618,f,34.0,health,1
619,m,51.0,sports,0
620,f,43.0,news,0
621,m,24.0,movies,0
622,f,31.0,health,1
623,m,62.0,news,0
624,m,93.0,news,0
625,f,59.0,sports,0
626,m,94.0,health,1
627,f,15.0,movies,1
628,f,33.0,health,1
629,m,80.0,health,1
630,m,90.0,sports,0
631,f,32.0,health,1
632,m,58.0,health,1
633,f,57.0,movies,0
634,f,17.0,movies,1
635,m,76.0,sports,0
636,m,84.0,sports,0
637,f,12.0,health,0
638,m,33.0,news,1
639,m,21.0,news,0
640,f,24.0,movies,1
641,f,11.0,news,0
642,f,70.0,sports,0
643,m,94.0,sports,0
644,m,51.0,health,1
645,f,91.0,sports,0
646,m,77.0,news,0
647,m,91.0,health,1
648,m,91.0,news,0
649,f,61.0,news,0
650,f,24.0,movies,1
651,f,11.0,health,0
652,m,41.0,sports,1
653,f,75.0,health,1
654,f,98.0,news,0
655,m,60.0,sports,0
656,m,95.0,movies,0
657,f,10.0,movies,0
658,f,10.0,sports,1
659,m,82.0,health,1
660,m,21.0,sports,1
661,m,82.0,news,0
662,f,10.0,sports,1
663,m,28.0,health,0
664,f,39.0,sports,0
665,f,32.0,movies,1
666,f,71.0,movies,0
667,f,70.0,news,0
668,f,53.0,news,0
669,m,99.0,movies,0
670,m,80.0,movies,0
671,f,95.0,sports,0
672,m,64.0,sports,0
673,f,60.0,sports,0
674,f,65.0,movies,0
675,m,58.0,news,0
676,f,14.0,movies,1
677,m,63.0,news,0
678,m,41.0,sports,1
679,f,32.0,movies,1
680,m,48.0,news,1
681,m,77.0,movies,0
682,m,58.0,sports,0
683,f,22.0,movies,1
684,f,66.0,health,0
685,m,46.0,news,1
686,m,32.0,sports,1
687,m,15.0,health,0
688,m,12.0,news,0
689,m,28.0,movies,1
690,m,11.0,health,0
691,m,64.0,health,1
692,f,86.0,movies,0
693,f,24.0,health,0
694,m,97.0,movies,0
695,m,66.0,movies,0
696,m,84.0,sports,0
697,f,38.0,news,0
698,m,27.0,health,0
699,m,31.0,health,0
700,m,81.0,movies,0
701,f,80.0,sports,0
702,f,71.0,health,1
703,f,12.0,news,0
704,f,90.0,health,1
705,m,29.0,health,0
706,m,25.0,sports,1
707,m,22.0,health,0
708,m,50.0,health,0
709,m,36.0,movies,0
710,m,94.0,sports,0
711,f,13.0,news,0
712,m,80.0,news,0
713,f,50.0,movies,0
714,f,78.0,sports,0
715,f,16.0,health,0
716,m,88.0,health,1
717,m,25.0,movies,0
718,f,58.0,news,0
719,f,76.0,sports,0
720,m,42.0,news,1
721,m,78.0,sports,0
722,f,30.0,health,1
723,m,52.0,news,0
724,m,42.0,news,1
725,f,64.0,news,0
726,f,41.0,movies,1
727,m,93.0,sports,0
728,f,27.0,movies,1
729,f,65.0,health,1
730,m,90.0,news,0
731,f,54.0,news,0
732,f,32.0,sports,0
733,m,99.0,news,0
734,m,13.0,movies,1
735,m,25.0,sports,1
736,m,40.0,movies,0
737,m,25.0,health,0
738,m,89.0,movies,0
739,m,98.0,sports,0
740,f,29.0,movies,1
741,m,98.0,news,0
742,m,96.0,health,1
743,f,64.0,health,1
744,m,50.0,sports,0
745,f,32.0,movies,1
746,m,84.0,news,0
747,f,74.0,health,1
748,m,11.0,sports,1
749,m,50.0,health,0
750,f,53.0,news,0
751,f,81.0,news,0
752,m,88.0,health,1
753,f,19.0,news,0
754,f,46.0,health,1
755,m,19.0,sports,1
756,f,69.0,health,1
757,m,43.0,sports,1
758,f,16.0,health,0
759,f,69.0,movies,0
760,f,27.0,sports,1
761,m,98.0,news,0
762,f,34.0,movies,1
763,m,98.0,sports,0
764,m,45.0,movies,0
765,m,61.0,movies,0
766,f,49.0,movies,1
767,f,68.0,movies,0
768,f,70.0,sports,0
769,m,70.0,news,0
770,m,10.0,movies,1
771,f,45.0,news,0
772,m,18.0,movies,1
773,f,90.0,news,0
774,m,32.0,health,0
775,f,83.0,movies,0
776,m,85.0,movies,0
777,m,65.0,movies,0
778,f,40.0,movies,1
779,m,79.0,health,0
780,f,47.0,news,0
781,m,37.0,health,0
782,f,69.0,movies,0
783,m,72.0,news,0
784,m,28.0,health,0
785,f,18.0,sports,1
786,m,94.0,news,0
787,f,53.0,news,0
788,m,56.0,news,0
789,m,37.0,health,0
790,f,81.0,movies,0
791,f,97.0,news,0
792,m,64.0,health,1
793,f,32.0,health,1
794,m,61.0,news,0
795,m,60.0,news,0
796,f,20.0,health,0
797,f,65.0,health,1
798,m,43.0,news,1
799,f,30.0,health,0
800,f,51.0,news,0
801,m,82.0,health,1
802,m,31.0,news,0
803,f,45.0,health,0
804,f,45.0,movies,1
805,m,83.0,sports,0
806,m,74.0,news,0
807,m,36.0,sports,1
808,m,59.0,movies,0
809,f,49.0,news,0
810,f,84.0,movies,0
811,m,26.0,movies,1
812,m,56.0,health,1
813,f,22.0,news,0
814,m,35.0,sports,1
815,f,20.0,movies,1
816,f,35.0,sports,0
817,m,47.0,news,1
818,m,35.0,movies,0
819,f,98.0,movies,0
820,f,24.0,news,0
821,m,55.0,news,0
822,m,89.0,movies,0
823,m,47.0,health,0
824,m,50.0,movies,0
825,f,29.0,movies,1
826,m,93.0,news,0
827,f,70.0,sports,0
828,f,80.0,movies,0
829,m,42.0,health,0
830,f,26.0,movies,1
831,f,71.0,news,0
832,f,49.0,health,1
833,f,96.0,sports,0
834,m,54.0,sports,0
835,m,18.0,health,0
836,m,58.0,sports,0
837,f,50.0,sports,0
838,m,85.0,news,0
839,f,85.0,news,0
840,f,41.0,health,1
841,f,90.0,movies,0
842,f,75.0,movies,0
843,m,77.0,health,1
844,f,27.0,movies,1
845,m,61.0,sports,0
846,m,78.0,health,1
847,f,51.0,sports,0
848,f,31.0,health,1
849,m,98.0,news,0
850,m,93.0,sports,0
851,f,99.0,health,1
852,m,78.0,movies,0
853,f,59.0,news,0
854,f,81.0,news,0
855,m,91.0,health,1
856,m,96.0,sports,0
857,m,84.0,health,1
858,f,91.0,movies,0
859,m,38.0,news,0
860,m,21.0,health,0
861,m,79.0,health,1
862,f,81.0,news,0
863,m,79.0,news,0
864,f,99.0,sports,0
865,f,65.0,movies,0
866,f,24.0,health,0
867,f,36.0,news,0
868,f,96.0,sports,0
869,f,97.0,movies,0
870,f,90.0,movies,0
871,f,51.0,health,1
872,m,97.0,movies,0
873,f,75.0,movies,0
874,m,47.0,movies,0
875,m,28.0,movies,1
876,f,13.0,news,0
877,m,14.0,health,0
878,m,82.0,movies,0
879,f,73.0,health,1
880,m,15.0,news,0
881,f,91.0,sports,0
882,m,96.0,news,0
883,f,86.0,movies,0
884,f,87.0,movies,0
885,m,44.0,movies,0
886,m,26.0,sports,1
887,f,22.0,health,0
888,f,30.0,movies,0
889,f,83.0,sports,0
890,f,16.0,movies,1
891,f,16.0,news,0
892,f,53.0,news,0
893,m,36.0,news,1
894,f,70.0,health,1
895,f,53.0,health,1
896,f,32.0,movies,1
897,f,52.0,movies,0
898,f,47.0,news,0
899,m,94.0,health,1
900,f,81.0,movies,0
901,m,79.0,news,0
902,f,54.0,sports,0
903,f,54.0,movies,0
904,f,56.0,news,0
905,m,23.0,movies,1
906,m,72.0,sports,0
907,m,95.0,news,0
908,f,22.0,health,0
909,f,52.0,movies,0
910,m,23.0,movies,0
911,f,78.0,movies,0
912,f,12.0,sports,1
913,m,40.0,movies,0
914,f,61.0,sports,0
915,f,75.0,news,0
916,m,19.0,movies,1
917,f,41.0,sports,0
918,m,61.0,movies,0
919,m,21.0,health,0
920,m,30.0,health,0
921,m,50.0,sports,0
922,m,94.0,health,1
923,m,55.0,news,0
924,f,57.0,movies,0
925,m,51.0,news,0
926,m,98.0,movies,0
927,f,27.0,health,0
928,m,64.0,news,0
929,m,51.0,news,0
930,m,44.0,health,0
931,m,33.0,news,1
932,m,73.0,sports,0
933,m,34.0,sports,1
934,f,29.0,movies,1
935,f,34.0,sports,0
936,f,62.0,sports,0
937,f,11.0,sports,1
938,m,27.0,health,0
939,f,18.0,movies,1
940,m,76.0,sports,0
941,m,27.0,sports,1
942,m,87.0,news,0
943,m,21.0,health,0
944,m,30.0,movies,0
945,m,51.0,news,0
946,f,30.0,sports,0
947,m,22.0,sports,1
948,f,68.0,news,0
949,m,11.0,news,0
950,f,55.0,sports,0
951,m,54.0,movies,0
952,m,68.0,sports,0
953,f,76.0,health,1
954,f,70.0,sports,0
955,m,41.0,news,1
956,f,53.0,movies,0
957,f,64.0,sports,0
958,f,27.0,news,0
959,f,19.0,news,0
960,f,85.0,movies,0
961,m,85.0,news,0
962,f,48.0,news,0
963,f,56.0,sports,0
964,m,73.0,health,1
965,m,95.0,sports,0
966,f,93.0,news,0
967,f,99.0,sports,0
968,m,50.0,news,0
969,f,63.0,news,0
970,f,64.0,sports,0
971,m,85.0,news,0
972,m,10.0,news,0
973,f,93.0,sports,0
974,f,10.0,sports,1
975,f,93.0,news,0
976,f,70.0,news,0
977,f,75.0,movies,0
978,m,99.0,health,1
979,f,23.0,news,0
980,m,27.0,movies,1
981,m,28.0,health,0
982,f,12.0,health,0
983,m,96.0,sports,0
984,m,96.0,news,0
985,f,65.0,news,0
986,m,27.0,health,0
987,m,50.0,movies,0
988,f,55.0,news,0
989,f,60.0,movies,0
990,m,42.0,health,0
991,m,73.0,movies,0
992,f,24.0,sports,1
993,f,32.0,movies,1
994,f,72.0,health,1
995,m,56.0,health,1
996,m,97.0,sports,0
997,m,48.0,news,1
998,f,86.0,sports,0
999,m,30.0,movies,0
1000,m,35.0,sports,1
1001,m,77.0,movies,0
1002,m,67.0,health,1
1003,m,95.0,sports,0
1004,m,22.0,sports,1
1005,f,78.0,sports,0
1006,f,52.0,health,1
1007,m,32.0,sports,1
1008,f,31.0,movies,1
1009,m,92.0,health,1
1010,m,76.0,movies,0
1011,f,28.0,movies,1
1012,f,49.0,sports,0
1013,f,31.0,news,0
1014,f,17.0,news,0
1015,f,71.0,health,1
1016,f,35.0,sports,0
1017,f,55.0,sports,0
1018,f,91.0,news,0
1019,f,77.0,news,0
1020,m,24.0,sports,1
1021,m,77.0,health,1
1022,f,73.0,movies,0
1023,f,30.0,news,0
1024,f,73.0,health,1
1025,f,35.0,health,1
1026,f,48.0,movies,0
1027,f,11.0,movies,1
1028,f,33.0,sports,0
1029,m,78.0,movies,0
1030,f,86.0,news,0
1031,f,80.0,sports,0
1032,m,55.0,news,0
1033,f,63.0,movies,0
1034,m,53.0,health,1
1035,m,82.0,sports,0
1036,m,82.0,health,1
1037,m,22.0,movies,1
1038,f,64.0,health,1
1039,f,94.0,movies,0
1040,f,72.0,health,1
1041,m,61.0,news,0
1042,m,27.0,news,0
1043,f,37.0,news,0
1044,m,69.0,movies,0
1045,m,88.0,health,0
1046,f,31.0,sports,0
1047,f,56.0,news,0
1048,f,89.0,sports,0
1049,f,47.0,sports,0
1050,m,83.0,health,1
1051,f,73.0,sports,0
1052,f,31.0,movies,1
1053,f,57.0,health,1
1054,f,61.0,movies,0
1055,f,21.0,health,0
1056,m,34.0,sports,1
1057,f,64.0,health,1
1058,f,89.0,sports,0
1059,m,45.0,sports,1
1060,m,62.0,movies,0
1061,f,16.0,movies,1
1062,f,90.0,movies,0
1063,f,89.0,health,1
1064,f,63.0,health,1
1065,f,12.0,movies,1
1066,f,72.0,movies,0
1067,m,48.0,news,1
1068,m,53.0,news,0
1069,m,45.0,news,1
1070,f,34.0,health,1
1071,f,37.0,health,0
1072,f,36.0,health,1
1073,m,45.0,health,0
1074,m,33.0,news,1
1075,m,88.0,movies,0
1076,m,70.0,movies,0
1077,f,99.0,movies,0
1078,m,91.0,news,0
1079,m,98.0,news,0
1080,f,40.0,health,1
1081,m,39.0,health,0
1082,m,65.0,health,1
1083,m,36.0,sports,1
1084,f,42.0,movies,1
1085,f,42.0,movies,1
1086,f,61.0,sports,0
1087,f,56.0,movies,0
1088,m,95.0,movies,0
1089,m,16.0,sports,1
1090,m,59.0,movies,0
1091,m,31.0,health,0
1092,f,70.0,movies,0
1093,f,48.0,sports,0
1094,f,47.0,news,0
1095,f,62.0,movies,0
1096,f,17.0,health,0
1097,m,52.0,health,1
1098,f,57.0,health,1
1099,f,67.0,news,0
1100,f,25.0,movies,1
1101,f,44.0,health,1
1102,f,16.0,sports,0
1103,m,74.0,news,0
1104,f,99.0,news,0
1105,f,56.0,movies,0
1106,f,84.0,news,0
1107,m,91.0,health,1
